Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","203","Tchéquie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","81880.31","A","Chiffre officiel"
"TCL","Cultures et produits animaux","203","Tchéquie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","176925","A","Chiffre officiel"
"TCL","Cultures et produits animaux","203","Tchéquie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","18452.52","A","Chiffre officiel"
"TCL","Cultures et produits animaux","203","Tchéquie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","46306","A","Chiffre officiel"
"TCL","Cultures et produits animaux","764","Thaïlande","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","356.38","A","Chiffre officiel"
"TCL","Cultures et produits animaux","764","Thaïlande","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1046","A","Chiffre officiel"
"TCL","Cultures et produits animaux","764","Thaïlande","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","224060.6","A","Chiffre officiel"
"TCL","Cultures et produits animaux","764","Thaïlande","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","592285","A","Chiffre officiel"
"TCL","Cultures et produits animaux","626","Timor-Leste","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","6880.54","A","Chiffre officiel"
"TCL","Cultures et produits animaux","626","Timor-Leste","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","11517","A","Chiffre officiel"
"TCL","Cultures et produits animaux","768","Togo","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","15209.45","A","Chiffre officiel"
"TCL","Cultures et produits animaux","768","Togo","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","10476","A","Chiffre officiel"
"TCL","Cultures et produits animaux","768","Togo","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","70.06","A","Chiffre officiel"
"TCL","Cultures et produits animaux","768","Togo","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","60","A","Chiffre officiel"
"TCL","Cultures et produits animaux","776","Tonga","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","7976.1","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","776","Tonga","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","8949","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","780","Trinité-et-Tobago","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","386.46","A","Chiffre officiel"
"TCL","Cultures et produits animaux","780","Trinité-et-Tobago","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","586","A","Chiffre officiel"
"TCL","Cultures et produits animaux","780","Trinité-et-Tobago","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","81.16","A","Chiffre officiel"
