Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB par habitant,Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Population totale,Population urbaine,Part de l'élevage de poulet (%),Political_Stability,distance_km
Danemark,1.3882175601268896,-0.28817758320125814,0.4975595966296217,0.7192683963961578,-0.27680612251016806,-0.3582991314758825,-0.268685654989404,3.4930511178381765,-1.7739576904127674,-1.995087512656496,-0.447163001057025,-0.3635664450675424,-0.7370097768527298,1.237628513820698,-1.2584014542047415
Djibouti,-1.1151684590528586,-0.5477822536875605,-0.2896455267310826,-0.5355278888788539,-0.5448574247161293,-0.3582991314758825,-0.5292237390061062,-0.537047410369319,-0.9316200447815872,0.583698178763048,-0.5618307070580242,-0.568381501457854,0.1457948800190553,-0.7547121971351788,-0.09628801543579527
Dominique,1.0869802383168783,-0.5461992983797171,-0.2896455267310826,-0.5258756097613538,-0.5448574247161293,-0.3582991314758825,-0.5292237390061062,-0.21790322096910927,1.4753447715944439,-0.18993752866281532,-0.5855068777683166,-0.6013925133118494,-0.08542054475475218,1.64599648563153,0.22001353640798862
El Salvador,-0.007861614054679519,-0.34516397428361717,-0.2783188343086264,-0.4100482603513528,-0.3343631505912027,-0.3582991314758825,-0.32440767295829404,-0.46528147027145783,0.03802033001061756,-0.017946879466933192,-0.4342396490376944,-0.3867666818945969,0.13542622578825994,-0.16072241995578698,0.7711862246263433
Espagne,1.2843426215717133,1.8171529762303402,0.9109838700492722,1.4142324928561645,1.782090996274271,2.899417649653697,1.7523669967470952,1.3096926679943435,-1.1276986416268506,-1.3372340199474286,0.5500198515252294,1.1689676716888089,-0.5100790732369076,0.5075160793710289,-1.252371026531879
Estonie,0.20404326059787997,-0.5066254156836345,-0.22734871840757365,-0.36178686476385236,-0.5037452618011046,-0.3089397863072525,-0.49910372929319263,0.7433091211286501,-0.2753569859525449,-0.6583292154716711,-0.5550606742103134,-0.5608897185165134,-0.4845265543311046,0.9653831992801435,-1.0455580038666092
Eswatini,-0.8430161200382966,-0.5414504324561872,-0.2896455267310826,-0.545180167996354,-0.5382794786497254,-0.3582991314758825,-0.5201877360922321,-0.4650695367690255,0.3308860226608694,1.3625967141305833,-0.5591170643498754,-0.588443342887408,-0.4011766712336041,0.04299217747628317,0.7316913702877053
Fidji,0.654860493927345,-0.5113742816071644,-0.2896455267310826,-0.5355278888788539,-0.5086787213509075,-0.3582991314758825,-0.4945857278362556,-0.30476963558008263,0.6990335922478936,0.6521149420047905,-0.5647898683094573,-0.5797642680923721,0.6446514239824779,0.9530084122555729,2.707725284616089
Finlande,0.3286931868640916,-0.3768230804404833,-0.22168537219634554,-0.4100482603513528,-0.3804087730560304,-0.3582991314758825,-0.3349496763578138,2.6466171838040777,-1.4358221509551203,-1.7582602552812314,-0.45275702522748706,-0.3787966390730107,-0.5849114500324736,1.497499041336682,-1.0328490071049108
Fédération de Russie,0.8626103710376976,6.659413262923016,0.36163928756014757,1.6169303543236664,6.86519881908793,-0.3582991314758825,6.163442419203284,0.04073279254964693,-0.2273377377455417,0.5415955552296676,2.963663800736593,4.50504873888073,0.23581112148962896,-0.6309643268894722,-0.8847416891256248
Gabon,0.8937728526042504,-0.4290606055993124,-0.2896455267310826,0.16908848669865265,-0.44947720675327196,-0.3582991314758825,-0.5231997370635235,-0.2220298052067189,0.19082988205711063,-0.7477972904801043,-0.5349771743664713,-0.5178135187753747,0.5071545365369662,0.04299217747628317,-0.14020432830465504
Gambie,-1.0486884983775457,-0.5398674771483439,-0.2896455267310826,-0.4100482603513528,-0.5366349921331244,-0.3582991314758825,-0.5262117380348148,-0.7019580902056952,-0.6415037535309434,-1.516170169964295,-0.5290945188211211,-0.5430770453314451,-0.7412685300036971,0.06202374648648497,-0.42019976320273744
Ghana,-0.8367836237249862,-0.21852754965615262,-0.2896455267310826,0.8930094205111595,-0.2028042292631235,-0.3582991314758825,-0.4388637098673655,-0.5997993699739008,1.0091579035847884,1.8836166803561656,0.15058146855698035,0.15911825709785357,0.4809936243238821,0.27239512590418624,-0.2953030264027609
Grèce,0.006680877343045217,-0.27076507481498174,-0.12540848660546805,0.1980453240511529,-0.283384068576572,-0.3582991314758825,-0.15874761953726954,0.6334903646466351,-0.4514275627115565,-0.42150195809640667,-0.3261994301178517,-0.18428532740046202,-0.06047641915623015,0.07439853351105563,-0.9855475640024471
Guatemala,-0.036946596850128806,0.012583925288970193,-0.250002103252486,0.6806592799261575,0.022490423511212075,0.23401301054767745,-0.175313624879372,-0.4414076253628287,0.03802033001061756,-0.017946879466933192,-0.18249418228546663,-0.19448710638581804,-0.448022955894243,-0.6433391139140429,0.7755332300756292
Guinée,-1.0112935204976823,-0.473383354218925,-0.2896455267310826,-0.2073503988838509,-0.46921104495248384,-0.3089397863072525,-0.5096457326927124,-0.6890785771050887,0.7850680786187737,-1.6740550082144707,-0.2883948720083882,-0.38647769142771404,-0.57091840396501,-0.7052130490368961,-0.34539286026921134
Guinée-Bissau,-1.152563436932722,-0.5461992983797171,-0.2896455267310826,-0.5258756097613538,-0.5432129381995283,-0.3582991314758825,-0.5247057375491692,-0.6976522480883086,-0.1973257076161645,-1.621426728797746,-0.5413339734086563,-0.5656947163487099,-0.7935903544298651,-0.45771730854548287,-0.3923336498685999
