Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB (en millions),Valeur US $ par habitant du PIB (en US dol),Valeur US $ du RNB (en millions),Valeur US $ par habitant du RNB (en US dol),Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Coût des fruits,"Coût en légumineuses, noix et graines",Coût en huile et graisse,Coût des féculents,Coût des légumes,Femmes,Hommes,Population rurale,Population totale,Population urbaine
République centrafricaine,0.78,11.0,0,4.0,11.0,0.0,7.0,2072.349974,450.900697,2177.935589,473.873953,3.423,1.284,0.345,0.141,0.174,0.525,0.955,2495.603,2501.138,2749.797,4996.741,1909.283
République de Corée,5.68,854.0,6.0,137.0,854.0,0,838.0,1623901.466309,31781.12332,1630520.837349,31910.670002,4.712,1.188,1.331,0.365,0.078,0.485,1.265,25729.724,25781.915,9429.948,51511.639,41552.264
République de Moldova,5.53,66.0,0.0,16.0,66.0,0,54.0,9669.741743,2381.895178,10220.953797,2517.672262,2.46,0.746,0.432,0.36,0.121,0.462,0.339,1667.839,1512.668,2327.145,3180.506,1724.067
République dominicaine,10.88,375.0,6.0,42.0,371.0,0,339.0,79998.045976,7609.365034,76204.051092,7248.482569,3.521,0.898,0.534,0.362,0.181,0.681,0.865,5286.818,5360.426,2123.575,10647.244,8643.423
République-Unie de Tanzanie,0.63,108.0,0,2.0,103.0,5.0,105.0,54723.795208,1001.160919,53717.076249,982.743196,2.598,0.657,0.518,0.208,0.155,0.557,0.504,28504.126,27762.906,38367.191,56267.032,18942.828
Saint-Kitts-et-Nevis,19.22,4.0,0.0,4.0,3.0,0,0.0,996.944444,19155.431731,948.060527,18216.169213,2.998,0.716,0.648,0.333,0.136,0.425,0.74,24.515,23.27,38.314,47.785,17.031
Saint-Vincent-et-les Grenadines,25.1,8.0,0,9.0,8.0,0,0.0,792.177778,7212.960181,795.791569,7245.864577,4.131,0.78,0.427,0.605,0.229,0.822,1.269,51.523,54.026,52.988,105.549,56.909
Sainte-Lucie,19.0,11.0,0,10.0,10.0,0,1.0,1996.77037,11034.684894,1890.122163,10445.318493,3.263,0.848,0.479,0.334,0.205,0.509,0.888,89.132,88.031,145.557,177.163,33.287
Sao Tomé-et-Principe,3.21,2.0,0,2.0,2.0,0,1.0,378.598871,1828.194018,377.482067,1822.801146,3.288,1.015,0.241,0.392,0.117,0.477,1.046,104.172,103.865,57.276,208.036,147.051
Serbie,3.5,90.0,7.0,12.0,90.0,0,85.0,44179.075315,6275.194384,41321.133253,5869.252389,4.07,0.998,0.872,0.612,0.096,0.572,0.92,3884.826,3580.054,3872.979,7464.88,4917.595
Sierra Leone,1.24,30.0,0.0,14.0,30.0,1.0,17.0,3739.577962,499.38124,3680.274147,491.46184,2.842,0.754,0.298,0.257,0.122,0.655,0.756,3833.302,3844.264,4410.71,7677.565,3146.502
Slovaquie,4.74,74.0,35.0,63.0,76.0,0,71.0,95393.515078,17510.14429,93663.916713,17192.66446,3.013,0.667,0.634,0.311,0.077,0.35,0.974,2785.356,2654.06,2519.468,5439.417,2928.194
Slovénie,8.72,52.0,29.0,20.0,51.0,0,72.0,48589.100043,23400.712988,47713.349731,22978.947989,2.798,0.698,0.669,0.346,0.072,0.29,0.722,1052.512,1045.88,951.104,2098.392,1128.872
Soudan,0.54,69.0,0,2.0,65.0,3.0,67.0,122072.659961,2990.994843,111094.599179,2722.013048,3.674,1.203,0.48,0.509,0.211,0.547,0.723,20344.125,20335.703,26602.042,40679.828,13931.288
Sri Lanka,2.64,192.0,2.0,0.0,164.0,10.0,192.0,87428.117558,4138.0152,85113.4944,4028.462963,3.702,0.999,0.899,0.192,0.321,0.493,0.799,11121.609,10385.204,17038.849,21506.813,3838.068
Suisse,6.49,133.0,4.0,51.0,133.0,0,91.0,704478.516964,83313.013992,694938.811022,82184.829618,2.523,0.675,0.577,0.249,0.067,0.212,0.743,4261.73,4189.958,2224.037,8451.687,6251.968
Suriname,9.27,25.0,5.0,18.0,18.0,0.0,10.0,3392.950425,5947.369351,3194.399106,5599.336552,4.969,1.412,0.8,0.78,0.136,0.585,1.256,294.024,293.536,191.326,587.559,372.076
Suède,7.09,187.0,23.0,84.0,164.0,0,157.0,541018.749769,54621.345824,550406.901192,55569.175203,3.086,0.644,0.773,0.347,0.085,0.47,0.766,5010.97,5047.22,1273.943,10058.19,8636.758
Sénégal,1.61,77.0,0.0,0.0,73.0,4.0,77.0,20996.569847,1361.702214,20340.564384,1319.157927,2.19,0.377,0.422,0.124,0.19,0.401,0.677,7714.564,7443.229,8442.004,15157.793,7408.563
Tadjikistan,1.45,40.0,0,38.0,39.0,0.0,2.0,7536.403147,848.668435,8637.19664,972.627925,3.027,0.823,0.628,0.439,0.16,0.552,0.425,4439.244,4486.281,6514.203,8925.525,2407.14
Tchad,0.15,7.0,0.0,1.0,7.0,0.0,6.0,10394.020227,692.16163,10257.982131,683.102541,2.831,0.882,0.39,0.187,0.172,0.497,0.703,7515.149,7570.735,11494.121,15085.884,3405.873
Tchéquie,7.5,249.0,27.0,116.0,234.0,0,163.0,218628.940952,20545.836143,206250.524034,19382.564141,2.899,0.7,0.693,0.377,0.076,0.297,0.757,5350.077,5181.228,2795.276,10531.305,7823.027
Thaïlande,4.35,881.0,796.0,2.0,896.0,32.0,1676.0,456356.812775,6593.81687,435913.23992,6298.431392,3.971,0.942,0.786,0.488,0.114,0.896,0.746,36304.062,34594.141,35071.057,70898.202,33966.456
Trinité-et-Tobago,16.63,76.0,0.0,23.0,75.0,0,61.0,23180.107752,16747.918804,23356.061974,16875.047938,3.928,1.047,0.979,0.361,0.167,0.612,0.763,750.563,728.044,640.679,1478.607,728.446
